Rank,Release Group,Worldwide,Domestic,%,Foreign,%
116,The Exorcism,"$9,661,882","$4,530,418",46.9%,"$5,131,464",53.1%
117,The Chosen: S4 Episodes 4-6,"$9,482,744","$9,482,744",100%,-,-
118,All About Suomi,"$9,468,225",-,-,"$9,468,225",100%
119,Mrs. Green Apple: The White Lounge,"$9,455,050",-,-,"$9,455,050",100%
120,A Smile Doesn't Lie,"$9,211,570",-,-,"$9,211,570",100%
121,Onegin,"$9,201,680",-,-,"$9,201,680",100%
122,Abudeka Is Back,"$9,163,586",-,-,"$9,163,586",100%
123,Lohusa,"$8,809,952",-,-,"$8,809,952",100%
124,Following,"$8,793,810",-,-,"$8,793,810",100%
125,Uma Musume: Pretty Derby - Beginning of a New Era,"$8,551,637",-,-,"$8,551,637",100%
126,Dear Family,"$8,528,605",-,-,"$8,528,605",100%
127,Jung Kook: I Am Still,"$8,189,316","$2,574,318",31.4%,"$5,614,998",68.6%
128,Un mondo a parte,"$8,108,856",-,-,"$8,108,856",100%
129,The Birth of Korea,"$8,022,137",-,-,"$8,022,137",100%
130,Drive-Away Dolls,"$7,935,363","$5,028,215",63.4%,"$2,907,148",36.6%
131,The Chosen: S4 Episodes 7-8,"$7,768,191","$7,729,152",99.5%,"$39,039",0.5%
132,Heartsping : Teenieping of Love,"$7,751,553",-,-,"$7,751,553",100%
133,Ducobu passe au vert!,"$7,510,050",-,-,"$7,510,050",100%
134,Kolpaçino 4 4'lük,"$7,343,114",-,-,"$7,343,114",100%
135,Stree 2,"$7,316,245","$2,570,000",35.1%,"$4,746,245",64.9%
136,Emilia Pérez,"$7,296,994",-,-,"$7,296,994",100%
137,Yolo,"$7,241,561","$2,001,584",27.6%,"$5,239,977",72.4%
138,Sight,"$7,206,741","$7,206,741",100%,-,-
139,Megalopolis,"$7,076,051","$5,202,175",73.5%,"$1,873,876",26.5%
140,Land of Bad,"$7,019,854","$4,620,045",65.8%,"$2,399,809",34.2%
